varied_parameter,parameter_value,base_case,model,found,number_of_roots,root,branch,B,delta,eta,Pbar,m_L,m_NL,E,P,tau,u,x,g,Z,A,residual_max,admissible,positive_growth,TVC,stability,lambda_1_real,lambda_1_imag,lambda_2_real,lambda_2_imag,lambda_3_real,lambda_3_imag,status
eta,1.08,False,nonlinear,True,1,1.0,upper,0.45,0.01,1.08,1.0,0.5,2.0,0.5472292823828735,0.4527707176171265,0.22649902010272682,0.47591913189398766,0.02672862152945969,0.20910776911824586,0.4955387897711974,0.4955387897711976,1.6653345369377348e-16,True,True,True,saddle,-1.445707344416668,0.0,0.026728621529472307,0.0,1.4724359659561719,0.0,solution
eta,1.0875,False,linear,True,1,1.0,-,0.45,0.01,1.0875,1.0,0.5,2.0,0.18275864306367806,0.8172413569363219,0.2746770284959267,0.5240963923706465,0.026426394988878874,0.18773022844433018,0.40862067846816097,0.40862067846816097,6.480246179150709e-17,True,True,True,saddle,-1.2476402065962031,0.0,0.026426394989891,0.0,1.2740666015652848,0.0,solution
eta,1.0875,False,nonlinear,True,1,1.0,upper,0.45,0.01,1.0875,1.0,0.5,2.0,0.5494788730168328,0.45052112698316715,0.226707619676801,0.47613823589037774,0.028162810999371363,0.20757498284995865,0.49510368224996826,0.49510368224996826,2.1000886603931383e-16,True,True,True,saddle,-1.449327715558488,0.0,0.028162810999446952,0.0,1.4774905265481495,0.0,solution
eta,1.095,False,linear,True,1,1.0,-,0.45,0.01,1.095,1.0,0.5,2.0,0.189240539499687,0.810759460500313,0.27676241925380585,0.5260821411660026,0.027634692662240532,0.1856283438130583,0.4053797302501565,0.4053797302501565,2.2084888233594775e-17,True,True,True,saddle,-1.2309249325787446,0.0,0.027634692663094818,0.0,1.25855962521651,0.0,solution
eta,1.095,False,nonlinear,True,1,1.0,upper,0.45,0.01,1.095,1.0,0.5,2.0,0.5516701809986768,0.4483298190013232,0.22692044217620166,0.47636167160698567,0.029575834282010372,0.2060614134948461,0.494660384791128,0.49466038479112795,2.479958574799196e-16,True,True,True,saddle,-1.4528899347367679,0.0,0.02957583428191357,0.0,1.4824657690119725,0.0,solution
eta,1.1025,False,linear,True,1,1.0,-,0.45,0.01,1.1025,1.0,0.5,2.0,0.19546588464230485,0.8045341153576951,0.27878770915971296,0.5280035124501663,0.028817086610644974,0.18358133278678018,0.4022670576788476,0.4022670576788476,3.1918892536947797e-17,True,True,True,saddle,-1.2157562692002182,0.0,0.02881708661195265,0.0,1.244573355786643,0.0,solution
eta,1.1025,False,nonlinear,True,1,1.0,upper,0.45,0.01,1.1025,1.0,0.5,2.0,0.5538053613781246,0.44619463862187536,0.2271369905584058,0.4765889114933391,0.030968105630267338,0.2045668841977301,0.4942099661739387,0.4942099661739388,1.1102230246251565e-16,True,True,True,saddle,-1.456394686772572,0.0,0.03096810563037189,0.0,1.4873627923845203,0.0,solution
eta,1.1099999999999999,False,linear,True,1,1.0,-,0.45,0.01,1.1099999999999999,1.0,0.5,2.0,0.2014506959001099,0.7985493040998901,0.28075577834484633,0.5298639243662908,0.029974536706187913,0.18158669732898122,0.39927465204994506,0.39927465204994506,8.766605514797025e-18,True,True,True,saddle,-1.2019275713693733,0.0,0.029974536707037473,0.0,1.2319021080534671,0.0,solution
eta,1.1099999999999999,False,nonlinear,True,1,1.0,upper,0.45,0.01,1.1099999999999999,1.0,0.5,2.0,0.5558864709769658,0.44411352902303425,0.2273568087384558,0.47681947185329565,0.03234003256149716,0.20309120510451978,0.4937534047234814,0.4937534047234815,1.2305317238503165e-16,True,True,True,saddle,-1.4598427101736817,0.0,0.03234003256162282,0.0,1.492182742722129,0.0,solution
eta,1.1175,False,linear,True,1,1.0,-,0.45,0.01,1.1175,1.0,0.5,2.0,0.20720961800618432,0.7927903819938157,0.28266930640127297,0.5316665368454864,0.03110794797699767,0.17964211044253348,0.39639519099690784,0.39639519099690784,9.512849785995966e-17,True,True,True,saddle,-1.1892678461773976,0.0,0.031107947978017754,0.0,1.2203757941180666,0.0,solution
